company_id,company_name,company_type,bank_name,account_number
1,Zola POS,POS,Access Bank,65043339563
2,McVine POS,POS,GTBank,02511749351
3,Zola POS,POS,Polaris Bank,44453508349
4,Adean POS,POS,UBA,37905524412
5,Kobo POS,POS,First Bank,64430006350
6,McVine POS,POS,GTBank,74267250079
7,Adean POS,POS,Union Bank,97924636869
8,McVine POS,POS,Polaris Bank,26049363106
9,Adean POS,POS,First Bank,87442137541
10,McVine POS,POS,Access Bank,64673941740
11,Adean Limited,BUSINESS,Zenith Bank,36096287809
12,Zola Limited,BUSINESS,UBA,35686409564
13,McVine Limited,BUSINESS,UBA,39888226182
14,Zola Limited,BUSINESS,First Bank,12486873382
15,McVine Limited,BUSINESS,UBA,47325240367
16,McVine Limited,BUSINESS,Union Bank,42306272460
17,Prime Limited,BUSINESS,Access Bank,67632630482
18,Adean Limited,BUSINESS,Union Bank,95351595162
19,Kobo Limited,BUSINESS,Polaris Bank,37098022980
20,Adean Limited,BUSINESS,Zenith Bank,82878307132
21,Kobo Limited,BUSINESS,Polaris Bank,64223246993
22,Zola Limited,BUSINESS,Zenith Bank,02814854157
23,Prime Limited,BUSINESS,Union Bank,58080644565
24,Adean Limited,BUSINESS,Polaris Bank,25545459800
25,McVine Limited,BUSINESS,GTBank,84629523996
26,Prime Limited,BUSINESS,Zenith Bank,10704537008
27,Prime Limited,BUSINESS,UBA,61118302114
28,McVine Limited,BUSINESS,UBA,65266992450
29,Prime Limited,BUSINESS,UBA,70576783882
30,Zola Limited,BUSINESS,First Bank,95763529825
