state,lga,country
Lagos,Ikeja,Nigeria
Lagos,Eti-Osa,Nigeria
Lagos,Alimosho,Nigeria
Lagos,Surulere,Nigeria
Lagos,Lagos Island,Nigeria
Lagos,Kosofe,Nigeria
Lagos,Agege,Nigeria
Lagos,Ifako-Ijaiye,Nigeria
Lagos,Mushin,Nigeria
Lagos,Oshodi-Isolo,Nigeria
Abuja (FCT),Abuja Municipal,Nigeria
Abuja (FCT),Gwagwalada,Nigeria
Abuja (FCT),Kuje,Nigeria
Abuja (FCT),Bwari,Nigeria
Abuja (FCT),Abaji,Nigeria
Abuja (FCT),Kwali,Nigeria
Rivers,Port Harcourt,Nigeria
Rivers,Obio-Akpor,Nigeria
Rivers,Ikwerre,Nigeria
Rivers,Eleme,Nigeria
Rivers,Okrika,Nigeria
Oyo,Ibadan North,Nigeria
Oyo,Ibadan South-West,Nigeria
Oyo,Egbeda,Nigeria
Oyo,Akinyele,Nigeria
Kano,Kano Municipal,Nigeria
Kano,Nasarawa,Nigeria
Kano,Gwale,Nigeria
Kano,Tarauni,Nigeria
Ogun,Abeokuta South,Nigeria
Ogun,Abeokuta North,Nigeria
Ogun,Sagamu,Nigeria
Ogun,Ijebu Ode,Nigeria
Anambra,Awka South,Nigeria
Anambra,Onitsha North,Nigeria
Anambra,Nnewi North,Nigeria
Anambra,Idemili South,Nigeria
Delta,Warri South,Nigeria
Delta,Uyo,Nigeria
Delta,Sapele,Nigeria
Delta,Ughelli North,Nigeria
Kaduna,Kaduna North,Nigeria
Kaduna,Kaduna South,Nigeria
Kaduna,Zaria,Nigeria
Kaduna,Kafanchan,Nigeria
Edo,Oredo,Nigeria
Edo,Ikpoba-Okha,Nigeria
Edo,Egor,Nigeria
Enugu,Enugu North,Nigeria
Enugu,Nsukka,Nigeria
Enugu,Udi,Nigeria
Kwara,Ilorin West,Nigeria
Kwara,Ilorin East,Nigeria
Kwara,Offa,Nigeria
Akwa Ibom,Uyo,Nigeria
Akwa Ibom,Eket,Nigeria
Akwa Ibom,Ikot Ekpene,Nigeria
Plateau,Jos North,Nigeria
Plateau,Jos South,Nigeria
Plateau,Barkin Ladi,Nigeria
