state,lga,category,total_amount,transaction_count
Abuja (FCT),Abaji,Clothing,2417777842.5181775,950
Abuja (FCT),Abaji,Debt Repayment,2358892651.5211053,946
Abuja (FCT),Abaji,Education,2270039781.689169,941
Abuja (FCT),Abaji,Entertainment,2355562792.055021,960
Abuja (FCT),Abaji,Food,2628625134.5607934,1009
Abuja (FCT),Abaji,Gift,2550902488.012083,949
Abuja (FCT),Abaji,Healthcare,2438034868.558249,965
Abuja (FCT),Abaji,Insurance,2335891538.6886888,933
Abuja (FCT),Abaji,Investment,2367026987.458253,941
Abuja (FCT),Abaji,Medicals,2363512045.6174164,944
Abuja (FCT),Abaji,Rent,2468391389.2892227,951
Abuja (FCT),Abaji,Restaurant,2291618285.8088427,930
Abuja (FCT),Abaji,Salary,2623321931.3857746,1007
Abuja (FCT),Abaji,Transportation,2433017735.9958377,973
Abuja (FCT),Abuja Municipal,Clothing,2403196282.9570723,951
Abuja (FCT),Abuja Municipal,Debt Repayment,2258030762.9575863,921
Abuja (FCT),Abuja Municipal,Education,2385139539.116478,961
Abuja (FCT),Abuja Municipal,Entertainment,2338169527.5816555,938
Abuja (FCT),Abuja Municipal,Food,2424930489.6418304,969
Abuja (FCT),Abuja Municipal,Gift,2542184225.236205,980
Abuja (FCT),Abuja Municipal,Healthcare,2352698706.3373013,916
Abuja (FCT),Abuja Municipal,Insurance,2368074652.091027,962
Abuja (FCT),Abuja Municipal,Investment,2266744140.219791,927
Abuja (FCT),Abuja Municipal,Medicals,2270926553.5055265,925
Abuja (FCT),Abuja Municipal,Rent,2366352733.9800725,946
Abuja (FCT),Abuja Municipal,Restaurant,2412318694.50552,979
Abuja (FCT),Abuja Municipal,Salary,2421528441.119316,967
Abuja (FCT),Abuja Municipal,Transportation,2415576695.7031856,987
Abuja (FCT),Bwari,Clothing,2403709205.7961683,940
Abuja (FCT),Bwari,Debt Repayment,2389986899.2361674,942
Abuja (FCT),Bwari,Education,2331725266.528008,957
Abuja (FCT),Bwari,Entertainment,2362964023.1535373,953
Abuja (FCT),Bwari,Food,2481973481.649035,977
Abuja (FCT),Bwari,Gift,2546657394.3360515,999
Abuja (FCT),Bwari,Healthcare,2379871740.963687,936
Abuja (FCT),Bwari,Insurance,2547538728.026841,1010
Abuja (FCT),Bwari,Investment,2299387659.588941,939
Abuja (FCT),Bwari,Medicals,2461979728.201814,980
Abuja (FCT),Bwari,Rent,2302158709.266643,928
Abuja (FCT),Bwari,Restaurant,2406878024.252643,967
Abuja (FCT),Bwari,Salary,2405089880.1063685,947
Abuja (FCT),Bwari,Transportation,2478995018.0261703,979
Abuja (FCT),Gwagwalada,Clothing,2360524090.0034466,959
Abuja (FCT),Gwagwalada,Debt Repayment,2261078796.0845227,921
Abuja (FCT),Gwagwalada,Education,2348535357.2729273,977
Abuja (FCT),Gwagwalada,Entertainment,2373523610.0817747,990
Abuja (FCT),Gwagwalada,Food,2411371030.8273435,962
Abuja (FCT),Gwagwalada,Gift,2416465730.063541,949
Abuja (FCT),Gwagwalada,Healthcare,2495092023.7435737,971
Abuja (FCT),Gwagwalada,Insurance,2326156660.5695877,953
Abuja (FCT),Gwagwalada,Investment,2247824961.2589717,905
Abuja (FCT),Gwagwalada,Medicals,2377073460.9621234,951
Abuja (FCT),Gwagwalada,Rent,2459825754.663412,994
Abuja (FCT),Gwagwalada,Restaurant,2315884813.5885334,925
Abuja (FCT),Gwagwalada,Salary,2396675418.954222,942
Abuja (FCT),Gwagwalada,Transportation,2434921797.7322903,986
Abuja (FCT),Kuje,Clothing,2314310548.842508,934
Abuja (FCT),Kuje,Debt Repayment,2168590069.590421,864
Abuja (FCT),Kuje,Education,2410847406.034344,958
Abuja (FCT),Kuje,Entertainment,2340274420.8147554,959
Abuja (FCT),Kuje,Food,2429677357.55178,938
Abuja (FCT),Kuje,Gift,2480349446.1428895,959
Abuja (FCT),Kuje,Healthcare,2496292131.355128,978
Abuja (FCT),Kuje,Insurance,2420842915.3232493,965
Abuja (FCT),Kuje,Investment,2437628946.706729,940
Abuja (FCT),Kuje,Medicals,2324699695.0370355,951
Abuja (FCT),Kuje,Rent,2344690810.4227076,953
Abuja (FCT),Kuje,Restaurant,2306278157.153229,946
Abuja (FCT),Kuje,Salary,2436900238.055313,980
Abuja (FCT),Kuje,Transportation,2323586636.0403514,962
Abuja (FCT),Kwali,Clothing,2376152452.3359346,925
Abuja (FCT),Kwali,Debt Repayment,2269028927.820987,922
Abuja (FCT),Kwali,Education,2367788920.7777653,968
Abuja (FCT),Kwali,Entertainment,2305997448.751838,928
Abuja (FCT),Kwali,Food,2187887150.043017,871
Abuja (FCT),Kwali,Gift,2403294087.39976,936
Abuja (FCT),Kwali,Healthcare,2247267376.2309923,937
Abuja (FCT),Kwali,Insurance,2307104291.685513,911
Abuja (FCT),Kwali,Investment,2291892463.242148,898
Abuja (FCT),Kwali,Medicals,2376405041.6813307,948
Abuja (FCT),Kwali,Rent,2366865257.5862722,949
Abuja (FCT),Kwali,Restaurant,2550089709.3440194,968
Abuja (FCT),Kwali,Salary,2257372468.0173764,889
Abuja (FCT),Kwali,Transportation,2383063945.639173,967
Akwa Ibom,Eket,Clothing,2555850941.781881,1018
Akwa Ibom,Eket,Debt Repayment,2338419230.376415,937
Akwa Ibom,Eket,Education,2276861892.48643,906
Akwa Ibom,Eket,Entertainment,2517056485.5826726,995
Akwa Ibom,Eket,Food,2297902519.3071833,944
Akwa Ibom,Eket,Gift,2405996354.760712,964
Akwa Ibom,Eket,Healthcare,2391620402.449045,968
Akwa Ibom,Eket,Insurance,2530776239.722545,1002
Akwa Ibom,Eket,Investment,2396388188.979642,955
Akwa Ibom,Eket,Medicals,2381508670.068514,972
Akwa Ibom,Eket,Rent,2334750106.429722,965
Akwa Ibom,Eket,Restaurant,2459538711.108439,1008
Akwa Ibom,Eket,Salary,2381011186.9610567,954
Akwa Ibom,Eket,Transportation,2454246717.9979863,988
Akwa Ibom,Ikot Ekpene,Clothing,2524099705.2335734,1012
Akwa Ibom,Ikot Ekpene,Debt Repayment,2382372226.5827127,931
Akwa Ibom,Ikot Ekpene,Education,2285108681.6912313,914
Akwa Ibom,Ikot Ekpene,Entertainment,2445200531.544055,956
Akwa Ibom,Ikot Ekpene,Food,2503157516.3094544,997
